text,label
"огромная выбоина на всю ширину полосы",roads
"дорога как решето после зимы",roads
"асфальт волнами провис",roads
"колея такая глубокая что цепляет днище",roads
"участок отсыпали щебнем без асфальта",roads
"каждое утро пробка от развязки до моста",roads
"в час пик стоим сорок минут на круге",roads
"светофоры настроены так что цепочка красных",roads
"сужение до одной полосы создает хвост",roads
"нет дополнительной полосы для поворота налево",roads
"перекресток темный аварийный участок",roads
"нет освещения на выезде со двора",roads
"остановка далеко от жилых кварталов",transit
"интервал автобуса больше получаса",transit
"маршрут отменили остались без связи с центром",transit
"трамвай редко ходит вечером",transit
"нет остановки возле больницы",transit
"автобус едет в общем потоке без полосы",transit
"навес на остановке протекает",transit
"электронное табло мертвое годами",transit
"бордюр высокий инвалидная коляска не заезжает",pedestrian
"пандуса нет только ступеньки",pedestrian
"тротуар обрывается посреди квартала",pedestrian
"идти приходится по газону или проезжей",pedestrian
"застройщик перекрыл проход забором",pedestrian
"дождь заливает подвалы лоток забит",utilities
"ливневая решетка провалилась",utilities
"контейнеров мало мусор разносят",utilities
"стихийная свалка старой мебели",utilities
"во дворе полная темнота фонари не жгут",utilities
"в сквере не горит ни одна лампа",utilities
"в новостройке нет садика очередь годы",social
"до поликлиники пешком полчаса и автобуса нет",social
"школа одна на три микрорайона переполнена",social
"во дворе ни скамейки ни урны",social
"детская площадка ржавая качели сломаны",social
